ReplyId,Incident_id,ReplyMessage,ReplyDate
260,148,ดำเนินการ Block source เรียบร้อย,10/1/2023 9:53
261,153,ให้ Block Source IP ดังกล่าว,10/1/2023 10:26
262,152,ให้ Block Source IP ดังกล่าว,10/1/2023 10:26
263,153,ดำเนินการ Block source เรียบร้อย,10/1/2023 13:17
264,152,ดำเนินการ Block source เรียบร้อย,10/1/2023 13:17
265,157,ให้ Block Source IP ดังกล่าว,10/1/2023 13:51
266,156,ให้ Block Source IP ดังกล่าว,10/1/2023 13:51
267,155,ให้ Block Source IP ดังกล่าว,10/1/2023 13:51
268,154,ให้ Block Source IP ดังกล่าว,10/1/2023 13:51
269,157,ดำเนินการ Block source เรียบร้อย,10/1/2023 16:09
270,156,ดำเนินการ Block source เรียบร้อย,10/1/2023 16:10
271,155,ดำเนินการ Block source เรียบร้อย,10/1/2023 16:10
272,154,ดำเนินการ Block source เรียบร้อย,10/1/2023 16:10
273,158,ให้ Block Destination IP ดังกล่าว,11/1/2023 9:07
274,162,ให้ Block Source IP ดังกล่าว,11/1/2023 11:05
275,161,ให้ Block Source IP ดังกล่าว,11/1/2023 11:05
276,160,ให้ Block Source IP ดังกล่าว,11/1/2023 11:05
277,160,ดำเนินการ Block source เรียบร้อย,11/1/2023 11:27
278,161,ดำเนินการ Block source เรียบร้อย,11/1/2023 11:28
279,162,ดำเนินการ Block source เรียบร้อย,11/1/2023 11:28
280,158,ตรวจสอบแล้วไม่พบ traffic C&C,12/1/2023 9:29
281,163,ให้ Block Source IP ดังกล่าว,12/1/2023 9:57
282,164,ให้ Block Source IP ดังกล่าว,12/1/2023 10:03
283,163,ดำเนินการ Block source เรียบร้อย,12/1/2023 10:12
284,164,ดำเนินการ Block source เรียบร้อย,12/1/2023 10:13
285,167,ให้ Block Source IP ดังกล่าว,13/1/2023 11:37
286,166,ให้ Block Source IP ดังกล่าว,13/1/2023 11:38
287,165,ให้ Block Source IP ดังกล่าว,13/1/2023 11:38
288,168,ให้ Block Source IP ดังกล่าว,13/1/2023 14:44
289,170,ให้ Block Destination IP ดังกล่าว,13/1/2023 15:15
290,169,ประสานผู้เกี่ยวข้องและหาแนวทางแก้ไข,13/1/2023 15:15
291,165,ดำเนินการ Block source เรียบร้อย,13/1/2023 15:49
292,166,ดำเนินการ Block source เรียบร้อย,13/1/2023 15:49
293,167,ดำเนินการ Block source เรียบร้อย,13/1/2023 15:50
294,168,ดำเนินการ Block source เรียบร้อย,13/1/2023 15:50
295,169,เบื้องต้นผู้แลจะพยายามตรวจสอบ เนื่องจาก เครื่องดั่งกล่าว รับ service website จำนวนมาก และได้ทำการ Block Destination,13/1/2023 15:52
296,170,ดำเนินการ Block Destination เรียบร้อย,13/1/2023 15:54
297,171,ให้ Block Source IP ดังกล่าว,16/1/2023 9:30
298,171,ดำเนินการ Block source เรียบร้อย,16/1/2023 10:20
299,175,ให้ Block Source IP ดังกล่าว,16/1/2023 13:00
300,174,ให้ Block Source IP ดังกล่าว,16/1/2023 13:00
301,173,ให้ Block Source IP ดังกล่าว,16/1/2023 13:00
